Time,Amount,V1,V2,V3,V4,V5,Class
0,88.29,0.96,-0.18,1.79,0.83,-0.02,0
1,22.75,1.19,0.26,-0.45,0.22,0.91,0
2,116.12,-0.25,0.38,0.61,-0.08,0.05,0
3,65.31,0.42,-0.07,1.20,-0.11,-0.33,0
4,148.95,-0.68,0.14,-0.94,0.45,0.27,0
5,78.56,0.84,0.15,0.37,-0.42,0.73,0
6,32.47,1.03,-0.20,0.59,0.61,-0.08,0
7,15.89,-0.31,0.74,-0.09,0.35,0.10,0
8,102.34,0.57,0.36,0.78,-0.21,0.46,0
9,187.12,-2.31,1.36,2.76,-0.53,0.41,1
10,24.78,0.72,-0.13,0.14,0.19,0.42,0
11,52.90,0.29,0.48,-0.31,-0.52,0.63,0
12,94.21,-0.47,0.22,0.83,0.91,-0.27,0
13,108.67,-2.89,1.42,3.11,-0.37,0.18,1
14,25.36,1.24,0.18,-0.63,0.44,0.28,0
15,163.75,0.38,-0.41,0.07,0.32,-0.19,0
16,45.23,-0.15,0.57,0.42,-0.29,0.87,0
17,78.92,-3.12,1.57,2.94,-0.62,0.31,1
18,34.56,0.83,0.27,-0.13,0.05,0.51,0
19,127.84,0.61,-0.22,0.34,0.76,-0.08,0

